cost,name
"
            ۲,۸۹۹,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت
            "
"
            ۱,۴۳۹,۰۰۰
        ","
                    گوشی موبایل هوآوی مدل Y6 Prime  2019 MRD-LX1F  دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۱,۷۰۰,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A10 SM-A105F/DS دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۱,۲۲۵,۰۰۰
        ","
                    گوشی موبایل هوآوی مدل Y5 2019 AMN-LX9 دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۲,۷۴۹,۰۰۰
        ","
                    گوشی موبایل هوآوی مدل P30 Lite MAR-LX1M دو سیم کارت ظرفیت 128 گیگابایت
            "
"
            ۳,۱۹۹,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 128 گیگابایت
            "
"
            ۲,۱۷۰,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A20s SM-A207F/DS دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۲,۸۴۹,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A30s SM-A307FN/DS دو سیم کارت ظرفیت 128 گیگابایت
            "
"
            ۷,۴۹۹,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Mi Note 10 M1910F4G دو سیم‌ کارت ظرفیت 128 گیگابایت
            "
"
            ۴,۰۵۰,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A50s SM-A507FN/DS دو سیم کارت ظرفیت 128گیگابایت
            "
"
            ۲,۸۸۹,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Mi A3 M1906F9SH دو سیم‌ کارت ظرفیت 128 گیگابایت
            "
"
            ۳,۵۹۹,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Redmi Note 8 Pro M1906G7G دو سیم‌ کارت ظرفیت 64 گیگابایت
            "
"
            ۶,۲۷۰,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A80 SM-A805F/DS دو سیم‌کارت ظرفیت 128 گیگابایت
            "
"
            ۴,۵۴۵,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A51 SM-A515F/DSN دو سیم کارت ظرفیت 128گیگابایت
            "
